NSW Recorded Crime Statistics April 2015-March 2020,,,,,,,,,
"Incidents of crime recorded by the NSW Police Force by Local Government Area: number, rates^ and trends^^",,,,,,,,,
,,,,,,,,,
Local Government Area,Offence type,Apr 2015 - Mar 2016,Apr 2016 - Mar 2017,Apr 2017 - Mar 2018,Apr 2018 - Mar 2019,Apr 2019 - Mar 2020,"Rate per 100,000 population Apr 2019 - Mar 2020",2 year trend and annual percent change (Apr 2018-Mar 2020),5 year trend and average annual percent change (Apr 2015-Mar 2020)
Albury,Murder *,0,2,0,1,0,nc,nc,nc
Albury,Attempted murder,0,1,0,0,1,1.9,nc,nc
Albury,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
Albury,Manslaughter *,0,0,0,0,0,nc,nc,nc
Wagga Wagga,Domestic violence related assault,355,393,385,426,500,771.4,Stable,Up 8.9%
Albury,Non-domestic violence related assault,329,294,316,356,350,651,Stable,Up 1.6%
Albury,Assault Police,35,19,22,28,29,53.9,Stable,nc
Albury,Sexual assault,48,55,54,51,72,133.9,Stable,Up 10.7%
Albury,"Indecent assault, act of indecency and other sexual offences",77,90,68,86,93,173,Stable,Stable
Albury,Abduction and kidnapping,3,1,2,2,6,11.2,nc,nc
Albury,Robbery without a weapon,9,10,10,18,18,33.5,nc,nc
Albury,Robbery with a firearm,0,4,2,1,1,1.9,nc,nc
Albury,Robbery with a weapon not a firearm,5,5,4,6,14,26,nc,nc
Albury,Blackmail and extortion,1,0,0,0,1,1.9,nc,nc
Albury,"Intimidation, stalking and harassment",281,318,319,293,356,662.1,Up 21.5%,Up 6.1%
Albury,Other offences against the person,7,10,4,11,22,40.9,nc,nc
Albury,Break and enter dwelling,324,383,343,340,473,879.7,Up 39.1%,Up 9.9%
Albury,Break and enter non-dwelling,148,148,119,141,131,243.6,Stable,Stable
Albury,Receiving or handling stolen goods,51,78,67,76,86,159.9,Stable,Up 14.0%
Albury,Motor vehicle theft,92,122,145,133,236,438.9,Up 77.4%,Up 26.6%
Albury,Steal from motor vehicle,383,580,621,540,816,1517.7,Up 51.1%,Up 20.8%
Albury,Steal from retail store,258,296,265,385,340,632.4,Stable,Up 7.1%
Albury,Steal from dwelling,222,249,243,233,265,492.9,Stable,Stable
Albury,Steal from person,31,20,24,22,18,33.5,nc,nc
Albury,Stock theft,3,1,2,1,0,nc,nc,nc
Albury,Fraud,269,295,346,332,558,1037.8,Up 68.1%,Up 20.0%
Albury,Other theft,241,207,193,225,231,429.6,Stable,Stable
Albury,Arson,43,31,56,64,62,115.3,Stable,Up 9.6%
Albury,Malicious damage to property,745,692,681,666,798,1484.2,Up 19.8%,Stable
Albury,Possession and/or use of cocaine,0,1,2,5,5,9.3,nc,nc
Albury,Possession and/or use of narcotics,1,7,1,2,5,9.3,nc,nc
Albury,Possession and/or use of cannabis,146,157,100,119,136,252.9,Stable,Stable
Albury,Possession and/or use of amphetamines,85,95,46,76,97,180.4,Stable,Stable
Albury,Possession and/or use of ecstasy,18,12,13,14,9,16.7,nc,nc
Albury,Possession and/or use of other drugs,32,28,21,15,24,44.6,nc,nc
Albury,"Dealing, trafficking in cocaine",0,0,1,4,1,1.9,nc,nc
Albury,"Dealing, trafficking in narcotics",1,4,0,0,0,nc,nc,nc
Albury,"Dealing, trafficking in cannabis",11,133,31,9,14,26,nc,nc
Albury,"Dealing, trafficking in amphetamines",243,78,57,199,58,107.9,Stable,Stable
Albury,"Dealing, trafficking in ecstasy",10,2,12,5,20,37.2,nc,nc
Albury,"Dealing, trafficking in other drugs",7,3,0,0,7,13,nc,nc
Albury,Cultivating cannabis,13,10,7,15,8,14.9,nc,nc
Albury,Manufacture drug,0,0,1,0,0,nc,nc,nc
Albury,Importing drugs,0,0,0,0,0,nc,nc,nc
Albury,Other drug offences,80,76,25,46,47,87.4,Stable,Down 12.5%
Albury,Prohibited and regulated weapons offences,165,152,152,225,204,379.4,Stable,Up 5.4%
Albury,Trespass,94,84,103,98,125,232.5,Stable,Up 7.4%
Albury,Offensive conduct,88,68,72,68,49,91.1,Stable,Down 13.6%
Albury,Offensive language,50,31,26,31,36,67,Stable,Stable
Albury,Criminal intent,29,22,22,21,34,63.2,Stable,Stable
Albury,Betting and gaming offences,1,1,0,9,0,nc,nc,nc
Albury,Liquor offences,133,94,88,56,40,74.4,Stable,Down 25.9%
Albury,Pornography offences,10,8,11,15,7,13,nc,nc
Albury,Prostitution offences,1,3,1,0,1,1.9,nc,nc
Albury,Escape custody,1,1,1,3,2,3.7,nc,nc
Albury,Breach Apprehended Violence Order,164,202,210,212,262,487.3,Up 23.6%,Up 12.4%
Albury,Breach bail conditions,416,604,775,732,512,952.3,Stable,Up 5.3%
Albury,Fail to appear,4,31,3,6,12,22.3,nc,nc
Albury,Resist or hinder officer,83,81,63,77,93,173,Stable,Stable
Albury,Other offences against justice procedures,20,21,19,23,44,81.8,Stable,nc
Albury,Transport regulatory offences,12,6,23,7,9,16.7,nc,nc
Albury,Other offences,126,102,119,126,128,238.1,Stable,Stable
Armidale Regional,Murder *,0,0,1,0,0,nc,nc,nc
Armidale Regional,Attempted murder,0,0,0,0,0,nc,nc,nc
Armidale Regional,"Murder accessory, conspiracy",0,0,0,0,0,nc,nc,nc
