"Population projections by age groups, Local Government Area and year ",,,,,,,,,,,
,,,,,,,,,,,
  ,  ,  ,  , Population, Population, Population, Population, Population, Population, Population, Population
 Local Government Areas, Sex, year, Age (years),2001,2006,2011,2016, 2021*, 2026*, 2031*, 2036*
 Albury LGA, Persons, 2001 and 2016, 0-14,"9,897", , ,"10,015", , , , 
 Albury LGA, Persons, 2001 and 2016, 15-44,"19,395", , ,"20,315", , , , 
 Albury LGA, Persons, 2001 and 2016, 45-64,"10,075", , ,"12,844", , , , 
 Albury LGA, Persons, 2001 and 2016, 65+,"5,898", , ,"8,991", , , , 
 Albury LGA, Persons, 2001 and 2016, All ages,"45,265", , ,"52,165", , , , 
 Albury LGA, Persons, 2006 and 2016, 0-14, ,"9,702", ,"10,015", , , , 
 Albury LGA, Persons, 2006 and 2016, 15-44, ,"19,880", ,"20,315", , , , 
 Albury LGA, Persons, 2006 and 2016, 45-64, ,"11,642", ,"12,844", , , , 
 Albury LGA, Persons, 2006 and 2016, 65+, ,"6,342", ,"8,991", , , , 
 Albury LGA, Persons, 2006 and 2016, All ages, ,"47,566", ,"52,165", , , , 
 Albury LGA, Persons, 2011 and 2016, 0-14, , ,"9,523","10,015", , , , 
 Albury LGA, Persons, 2011 and 2016, 15-44, , ,"20,184","20,315", , , , 
 Albury LGA, Persons, 2011 and 2016, 45-64, , ,"12,381","12,844", , , , 
 Albury LGA, Persons, 2011 and 2016, 65+, , ,"7,363","8,991", , , , 
 Albury LGA, Persons, 2011 and 2016, All ages, , ,"49,451","52,165", , , , 
 Albury LGA, Persons, 2016 and 2021*, 0-14, , , ,"10,015","9,499", , , 
 Albury LGA, Persons, 2016 and 2021*, 15-44, , , ,"20,315","21,442", , , 
 Albury LGA, Persons, 2016 and 2021*, 45-64, , , ,"12,844","13,181", , , 
 Albury LGA, Persons, 2016 and 2021*, 65+, , , ,"8,991","10,373", , , 
 Albury LGA, Persons, 2016 and 2021*, All ages, , , ,"52,165","54,495", , , 
 Albury LGA, Persons, 2016 and 2026*, 0-14, , , ,"10,015", ,"9,557", , 
 Albury LGA, Persons, 2016 and 2026*, 15-44, , , ,"20,315", ,"21,776", , 
 Albury LGA, Persons, 2016 and 2026*, 45-64, , , ,"12,844", ,"13,079", , 
 Albury LGA, Persons, 2016 and 2026*, 65+, , , ,"8,991", ,"12,159", , 
 Albury LGA, Persons, 2016 and 2026*, All ages, , , ,"52,165", ,"56,572", , 
 Albury LGA, Persons, 2016 and 2031*, 0-14, , , ,"10,015", , ,"9,722", 
 Albury LGA, Persons, 2016 and 2031*, 15-44, , , ,"20,315", , ,"21,538", 
 Albury LGA, Persons, 2016 and 2031*, 45-64, , , ,"12,844", , ,"13,509", 
 Albury LGA, Persons, 2016 and 2031*, 65+, , , ,"8,991", , ,"13,599", 
 Albury LGA, Persons, 2016 and 2031*, All ages, , , ,"52,165", , ,"58,368", 
 Albury LGA, Persons, 2016 and 2036*, 0-14, , , ,"10,015", , , ,"9,725"
 Albury LGA, Persons, 2016 and 2036*, 15-44, , , ,"20,315", , , ,"21,255"
 Albury LGA, Persons, 2016 and 2036*, 45-64, , , ,"12,844", , , ,"13,989"
 Albury LGA, Persons, 2016 and 2036*, 65+, , , ,"8,991", , , ,"14,884"
 Albury LGA, Persons, 2016 and 2036*, All ages, , , ,"52,165", , , ,"59,853"
 Armidale Regional LGA, Persons, 2001 and 2016, 0-14,"6,303", , ,"5,630", , , , 
 Armidale Regional LGA, Persons, 2001 and 2016, 15-44,"12,979", , ,"12,506", , , , 
 Armidale Regional LGA, Persons, 2001 and 2016, 45-64,"6,373", , ,"7,230", , , , 
 Armidale Regional LGA, Persons, 2001 and 2016, 65+,"3,403", , ,"4,945", , , , 
 Armidale Regional LGA, Persons, 2001 and 2016, All ages,"29,058", , ,"30,311", , , , 
 Armidale Regional LGA, Persons, 2006 and 2016, 0-14, ,"5,733", ,"5,630", , , , 
 Armidale Regional LGA, Persons, 2006 and 2016, 15-44, ,"12,232", ,"12,506", , , , 
 Armidale Regional LGA, Persons, 2006 and 2016, 45-64, ,"6,816", ,"7,230", , , , 
 Armidale Regional LGA, Persons, 2006 and 2016, 65+, ,"3,698", ,"4,945", , , , 
 Armidale Regional LGA, Persons, 2006 and 2016, All ages, ,"28,479", ,"30,311", , , , 
 Armidale Regional LGA, Persons, 2011 and 2016, 0-14, , ,"5,674","5,630", , , , 
 Armidale Regional LGA, Persons, 2011 and 2016, 15-44, , ,"12,249","12,506", , , , 
 Armidale Regional LGA, Persons, 2011 and 2016, 45-64, , ,"7,370","7,230", , , , 
 Armidale Regional LGA, Persons, 2011 and 2016, 65+, , ,"4,385","4,945", , , , 
 Armidale Regional LGA, Persons, 2011 and 2016, All ages, , ,"29,678","30,311", , , , 
 Armidale Regional LGA, Persons, 2016 and 2021*, 0-14, , , ,"5,630","6,161", , , 
 Armidale Regional LGA, Persons, 2016 and 2021*, 15-44, , , ,"12,506","13,670", , , 
 Armidale Regional LGA, Persons, 2016 and 2021*, 45-64, , , ,"7,230","7,612", , , 
 Armidale Regional LGA, Persons, 2016 and 2021*, 65+, , , ,"4,945","5,945", , , 
 Armidale Regional LGA, Persons, 2016 and 2021*, All ages, , , ,"30,311","33,388", , , 
 Armidale Regional LGA, Persons, 2016 and 2026*, 0-14, , , ,"5,630", ,"6,488", , 
 Armidale Regional LGA, Persons, 2016 and 2026*, 15-44, , , ,"12,506", ,"14,302", , 
 Armidale Regional LGA, Persons, 2016 and 2026*, 45-64, , , ,"7,230", ,"7,567", , 
 Armidale Regional LGA, Persons, 2016 and 2026*, 65+, , , ,"4,945", ,"6,855", , 
 Armidale Regional LGA, Persons, 2016 and 2026*, All ages, , , ,"30,311", ,"35,211", , 
 Armidale Regional LGA, Persons, 2016 and 2031*, 0-14, , , ,"5,630", , ,"6,738", 
 Armidale Regional LGA, Persons, 2016 and 2031*, 15-44, , , ,"12,506", , ,"14,777", 
 Armidale Regional LGA, Persons, 2016 and 2031*, 45-64, , , ,"7,230", , ,"7,783", 
 Armidale Regional LGA, Persons, 2016 and 2031*, 65+, , , ,"4,945", , ,"7,666", 
 Armidale Regional LGA, Persons, 2016 and 2031*, All ages, , , ,"30,311", , ,"36,964", 
 Armidale Regional LGA, Persons, 2016 and 2036*, 0-14, , , ,"5,630", , , ,"6,927"
 Armidale Regional LGA, Persons, 2016 and 2036*, 15-44, , , ,"12,506", , , ,"15,122"
 Armidale Regional LGA, Persons, 2016 and 2036*, 45-64, , , ,"7,230", , , ,"8,246"
 Armidale Regional LGA, Persons, 2016 and 2036*, 65+, , , ,"4,945", , , ,"8,321"
 Armidale Regional LGA, Persons, 2016 and 2036*, All ages, , , ,"30,311", , , ,"38,616"
 Ballina LGA, Persons, 2001 and 2016, 0-14,"7,546", , ,"7,268", , , , 
 Ballina LGA, Persons, 2001 and 2016, 15-44,"13,490", , ,"12,836", , , , 
 Ballina LGA, Persons, 2001 and 2016, 45-64,"9,682", , ,"12,220", , , , 
 Ballina LGA, Persons, 2001 and 2016, 65+,"7,138", , ,"10,302", , , , 
 Ballina LGA, Persons, 2001 and 2016, All ages,"37,856", , ,"42,626", , , , 
 Ballina LGA, Persons, 2006 and 2016, 0-14, ,"7,370", ,"7,268", , , , 
 Ballina LGA, Persons, 2006 and 2016, 15-44, ,"13,514", ,"12,836", , , , 
 Ballina LGA, Persons, 2006 and 2016, 45-64, ,"11,083", ,"12,220", , , , 
 Ballina LGA, Persons, 2006 and 2016, 65+, ,"7,570", ,"10,302", , , , 
 Ballina LGA, Persons, 2006 and 2016, All ages, ,"39,537", ,"42,626", , , , 
 Ballina LGA, Persons, 2011 and 2016, 0-14, , ,"7,295","7,268", , , , 
 Ballina LGA, Persons, 2011 and 2016, 15-44, , ,"12,919","12,836", , , , 
 Ballina LGA, Persons, 2011 and 2016, 45-64, , ,"11,871","12,220", , , , 
 Ballina LGA, Persons, 2011 and 2016, 65+, , ,"8,662","10,302", , , , 
 Ballina LGA, Persons, 2011 and 2016, All ages, , ,"40,747","42,626", , , , 
 Ballina LGA, Persons, 2016 and 2021*, 0-14, , , ,"7,268","7,489", , , 
 Ballina LGA, Persons, 2016 and 2021*, 15-44, , , ,"12,836","12,814", , , 
 Ballina LGA, Persons, 2016 and 2021*, 45-64, , , ,"12,220","11,820", , , 
 Ballina LGA, Persons, 2016 and 2021*, 65+, , , ,"10,302","11,147", , , 
 Ballina LGA, Persons, 2016 and 2021*, All ages, , , ,"42,626","43,269", , , 
 Ballina LGA, Persons, 2016 and 2026*, 0-14, , , ,"7,268", ,"7,518", , 
 Ballina LGA, Persons, 2016 and 2026*, 15-44, , , ,"12,836", ,"12,839", , 
 Ballina LGA, Persons, 2016 and 2026*, 45-64, , , ,"12,220", ,"11,442", , 
 Ballina LGA, Persons, 2016 and 2026*, 65+, , , ,"10,302", ,"12,500", , 
 Ballina LGA, Persons, 2016 and 2026*, All ages, , , ,"42,626", ,"44,298", , 
 Ballina LGA, Persons, 2016 and 2031*, 0-14, , , ,"7,268", , ,"7,453", 
 Ballina LGA, Persons, 2016 and 2031*, 15-44, , , ,"12,836", , ,"12,653", 
 Ballina LGA, Persons, 2016 and 2031*, 45-64, , , ,"12,220", , ,"11,460", 
 Ballina LGA, Persons, 2016 and 2031*, 65+, , , ,"10,302", , ,"13,604", 
 Ballina LGA, Persons, 2016 and 2031*, All ages, , , ,"42,626", , ,"45,170", 
 Ballina LGA, Persons, 2016 and 2036*, 0-14, , , ,"7,268", , , ,"7,352"
 Ballina LGA, Persons, 2016 and 2036*, 15-44, , , ,"12,836", , , ,"12,383"
 Ballina LGA, Persons, 2016 and 2036*, 45-64, , , ,"12,220", , , ,"11,587"
 Ballina LGA, Persons, 2016 and 2036*, 65+, , , ,"10,302", , , ,"14,517"
 Ballina LGA, Persons, 2016 and 2036*, All ages, , , ,"42,626", , , ,"45,839"
 Balranald LGA, Persons, 2001 and 2016, 0-14,657, , ,512, , , , 
 Balranald LGA, Persons, 2001 and 2016, 15-44,"1,156", , ,834, , , , 
 Balranald LGA, Persons, 2001 and 2016, 45-64,612, , ,631, , , , 
 Balranald LGA, Persons, 2001 and 2016, 65+,326, , ,333, , , , 
 Balranald LGA, Persons, 2001 and 2016, All ages,"2,751", , ,"2,310", , , , 
 Balranald LGA, Persons, 2006 and 2016, 0-14, ,521, ,512, , , , 
 Balranald LGA, Persons, 2006 and 2016, 15-44, ,963, ,834, , , , 
 Balranald LGA, Persons, 2006 and 2016, 45-64, ,681, ,631, , , , 
 Balranald LGA, Persons, 2006 and 2016, 65+, ,342, ,333, , , , 
 Balranald LGA, Persons, 2006 and 2016, All ages, ,"2,507", ,"2,310", , , , 
 Balranald LGA, Persons, 2011 and 2016, 0-14, , ,493,512, , , , 
 Balranald LGA, Persons, 2011 and 2016, 15-44, , ,807,834, , , , 
 Balranald LGA, Persons, 2011 and 2016, 45-64, , ,691,631, , , , 
 Balranald LGA, Persons, 2011 and 2016, 65+, , ,362,333, , , , 
 Balranald LGA, Persons, 2011 and 2016, All ages, , ,"2,353","2,310", , , , 
 Balranald LGA, Persons, 2016 and 2021*, 0-14, , , ,512,441, , , 
 Balranald LGA, Persons, 2016 and 2021*, 15-44, , , ,834,668, , , 
